Name,Ticker,"Sub-Sector","Market Cap","Close Price","% From Upper Bollinger Band","% From Lower Bollinger Band","Super Trend","RSI Exponential – 14D","Volatility","Volatility vs Nifty","Alpha","Sharpe Ratio","Beta","1W Return","1W Return vs Nifty","1M Return","1M Return vs Nifty","6M Return","6M Return vs Nifty","1Y Return","1Y Return vs Nifty"
CPSE ETF,CPSEETF,"Equity","23025.673136880003","78.78","-2.2756267405743","1.9846392323757","85.70214285714286","50.6810172085673","20.161599936512975","1.8361070721684747","8.92828293954495","0.02061282063018","0.77762243276473","0.9542230818826681","0.620940452309958","-2.600149290868362","-2.056882624351724","50.80398162327718","38.49093284123975","100.91813312930374","72.08838248943295"
UTI S&P BSE Sensex ETF,UTISENSETF,"Equity","15502.995608939998","788.11","-1.2382355424823002","3.3110916604842","797.9685714285715","63.6731051720105","19.214037468747875","1.7498130204134819","4.25937819623741","-0.002790653939747","0.689738034469074","1.6112802353870228","1.2779976058143125","1.8291826757381247","2.3724493422547623","10.959212693764348","-1.353836088273086","27.022322507857194","-1.807428132013598"
Bharat 22 ETF,ICICIB22,"Equity","10739.054693185","99.45","-1.4756690519064","1.4691404520855","108.7","54.0414155737227","15.7471308333227","1.4340835241484682","5.40628723341805","0.021133606920337","0.99641186088534","-0.0203500203500163","-0.35363264992272647","-2.1412209939248994","-1.5979543274082617","33.32886445904276","21.015815677005328","69.36307901907358","40.533328379202786"
Nippon India ETF Nifty Bank BeES,BANKBEES,"Equity","10625.94809425","477.01","-0.5764314832285","5.061859481181","471.3228571428571","77.9215973242584","12.638870061635101","1.1510157317604348","-6.21693092044186","-0.013416788414563","1.29260385310191","-0.0924952701282316","-0.42577789970094176","-0.6812672406586958","-0.13800057414205813","4.7337797782413","-7.579269003796134","18.083473611248642","-10.74627702862215"
Kotak Nifty Bank ETF,BANKNIFTY1,"Equity","8642.347920388","479.24","-0.4766434833504","5.0814349824617","470.5335714285714","73.8860517501256","12.522282429016286","1.1403981529247835","-6.50040555750733","-0.010545973830429","1.33706333702421","-0.39622641509433676","-0.7295090446670469","-0.7955399649210728","-0.25227329840443513","5.285820993892526","-7.027227788144908","18.471274597053306","-10.358476042817486"
SBI Nifty 50 ETF,SETFNIF50,"Equity","8375.508879793","231.11","-1.4576900649601998","3.3600725594625","237.9664285714286","59.7850193921067","10.204036848228263","0.9292766586330766","1.43056951945369","0.001181636917771","0.982404589710398","-0.5452657088454298","-0.87854833841814","-0.3987171708416468","0.14454949567499087","12.692607762824263","0.3795589807868289","30.10020265705924","1.2704520171884468"
BHARAT Bond ETF-April 2023-Growth,EBBETF0423,"Debt","8369.700871194","1230.39","-0.158647899757","0.6806072771177","1222.185714285714","68.2736848527726","0","0","6.12390856538256","-0.061080809493943",,,,,,,,"0.42114541759507046","-28.40860522227572"
BHARAT Bond ETF-April 2030-Growth,EBBETF0430,"Debt","6636.666277530001","1353.37","-0.2201210960433","1.9033354862279","1277.856428571428","77.0880013424214","2.6555541794510447","0.2418400238458415","6.92811730232912","-0.055078309021881",,"0.8782991854962053","0.5450165559234952","1.183035714285721","1.7263023808023588","4.1927462256815184","-8.120302556355917","8.506578367153857","-20.323172272716935"
BHARAT Bond ETF-April 2032,BBETF0432,"Debt","6496.905610791","1138","-0.3009330976343","1.8606100037377","1125.7585714285715","63.3407878180782","0","0",,,,"-0.05286576501168654","-0.3861483945843967","0.47654056352249236","1.01980723003913","4.527376436332904","-7.78567234570453","9.113572079198423","-19.71617856067237"
Nippon India ETF Gold BeES,GOLDBEES,"Gold","5168.879891351","55.99","-2.2243903352127","5.2854750269557","54.317857142857136","56.4259165953092","10.01096358998473","0.9116935711785165","9.51747345610859","-0.030196124243903","-0.007443971612839","0.7348987273705031","0.40161609779779295","6.783203496104883","7.32647016262152","11.489446435683002","-0.8236023463544324","11.890487609912075","-16.939263029958717"
Nippon India ETF Nifty 50 BeES,NIFTYBEES,"Equity","4449.399917086","244.74","-1.5911180060238999","3.2263820753810997","241.00857142857146","58.9875977090545","10.25374114321881","0.9338032045340304","2.22859559998054","0.037892634135869","0.97151863957249","-0.6707840811485193","-1.0040667107212293","-0.4672322636173674","0.07603440289927027","12.882247128822476","0.5691983467850417","30.263998296785193","1.4342476569144011"
Motilal Oswal NASDAQ 100 ETF,MON100,"Equity","3724.72539368","149.04","-2.2852205872601","6.3966134893392","139.67857142857142","58.3313429084035","14.207675671973963","1.293886093491209","9.79299642118911","0.008262611356134","0.383025689092841","1.9217570350034396","1.5884744054307296","3.28997704667176","3.8332437131883976","23.818227133006552","11.505178350969118","47.49134092033646","18.66159028046567"
SBI Gold ETF,SETFGOLD,"Gold","2644.090741","57.7","-2.2936307170823","4.936620278752899","55.17142857142857","53.8608213940494","10.220390390577586","0.9307659677582032","9.91373511824766","-0.027484158448541","-0.08497291420022","1.064758247512654","0.7314756179399439","6.806862202545651","7.350128869062289","11.583832914329921","-0.7292158677075129","12.541447240101423","-16.28830339976937"
Nippon India ETF Nifty 1D Rate Liquid BeES,LIQUIDBEES,"Debt","2580.8388","1000","-0.0006160160341","0.001116032284","1000.2657142857142","55.3791805638097","0","0","-0.000994441509548","-0.101916752053546","-0.000166082209921","0","-0.33328262957271015","0.0010000100000990915","0.5442666765167368","0","-12.313048782037434","0","-28.82975063987079"
ICICI Prudential Nifty 50 ETF,NIFTYIETF,"Equity","2180.653534008","243.23","-1.5968734262842998","3.2738283339359","230.85999999999999","58.290846172297","10.631668281395834","0.9682208446695504","2.28346107830425","0.032968413234805","0.986842333687183","-0.5634382068681902","-0.8967208364409004","-0.32567918538978113","0.21758748112685655","12.632553831905534","0.31950504986810024","30.215750307832327","1.385999667961535"
Kotak Gold Etf,KOTAKGOLD,"Gold","1984.1380216000002","56.37","-2.0918141796739","5.3522039974927","55.08571428571428","58.8804626829916","10.056827932699992","0.9158704144987404","10.4129004690932","-0.0282548672092","-0.033334275056209","1.3963480128893684","1.0630653833166583","7.211811470755257","7.755078137271894","12.000794754619509","-0.3122540274179251","12.51497005988023","-16.31478057999056"
