Name,Ticker,Sub-Sector,Market Cap,Return on Investment,ROCE,Return on Assets,Return on Equity,Net Profit Margin,Interest Coverage Ratio,Asset Turnover Ratio,Working Capital Turnover Ratio,Inventory Turnover Ratio,Current Ratio,Cash Conversion Cycle,PE Ratio,PB Ratio,Price / Sales,Price / CFO,EV / Invested Capital,EV / Revenue Ratio,EV / Free Cash Flow,EV/EBITDA Ratio,DII Holding Change – 3M,FII Holding Change – 3M,MF Holding Change – 3M,Promoter Holding Change – 3M,Insider Trades - 3M Cumulative,Bulk Deals - 3M Cumulative,Dividend Yield,1Y Historical Revenue Growth,1Y Forward Revenue Growth,1Y Historical EPS Growth,1Y Forward EPS Growth
Bharti Airtel Ltd,BHARTIARTL,Telecom Services,731313.747,8.315411626,11.11635335,2.071548972,8.414083526,5.926075827,1.858071803,0.349565046,-2.227310324,41.3790705,0.471462024,-196.495614,87.62551037,6.870388992,5.192754189,11.19507424,2.911865946,6.874020365,24.95977546,13.39134331,-0.189645953,0.814271048,-0.039537008,-0.178217314,0,-0.821125102,0.32639463,15.39151681,7.384541746,89.98619616,51.87261234
Zomato Ltd,ZOMATO,Online Services,151125.7834,-4.622290805,-4.791717309,-4.990533247,-5.403300503,-12.5148173,-19.83367556,0.398769964,0.956784911,23.88235294,7.516308119,-77.49525382,-155.5912524,7.76868502,19.47196096,,7.320914209,18.82749877,,,2.437894021,0.154061451,1.778677725,0,,-1.967775177,,54.90489591,54.95049606,51.21298051,129.499001
Indian Railway Catering and Tourism Corporation Ltd,IRCTC,Online Services,74296,39.88121254,50.7939156,22.42032623,46.26061522,27.26599984,85.04717567,0.822281463,2.083442755,24.09464082,1.820152549,-29.84886569,73.86242755,29.97740478,20.13932938,91.70987014,28.2711156,19.63796861,97.56306561,50.88101893,1.44840125,0.232800125,1.3870115,0,,0,0.592225692,86.54429612,15.31267789,52.50852854,20.0950421
Indus Towers Ltd,INDUSTOWER,Telecom Infrastructure,73113.63945,9.208227446,11.53279388,4.315633594,9.431345354,7.044296192,2.651879789,0.612642268,14.3748635,,1.066741804,44.38102283,35.84001934,3.463541981,2.524677118,9.24927126,2.283209068,3.176858087,21.48440976,9.432470006,0.383786159,-0.691664864,0.181207022,0,0,-8.23095776,,2.782184648,-0.647408286,-67.9904599,172.9284186
Info Edge (India) Ltd,NAUKRI,Online Services,67696.5672,-0.612859101,1.038245584,-0.578385942,-0.661461682,-3.922162904,8.666848419,0.147466068,1.172041745,,2.735975922,-535.5534527,-630.2631711,4.692719899,24.7199483,129.9882241,4.644843589,24.65033456,171.6747042,291.0114549,1.28124353,-0.744261399,1.044869928,-0.068273559,-0.015456166,,0.36208483,-82.21664916,-12.54829216,-100.8402107,867.8815071
Vodafone Idea Ltd,IDEA,Telecom Services,64744.1611,,-4.037019427,-14.60411621,,-68.96161359,-0.254484185,0.211771672,-0.93983291,627.2688172,0.231627368,107.5406276,-2.209615376,-0.870695868,1.523786418,3.431299512,,7.099596627,22.77241242,17.63402943,1.242492298,-0.194865983,1.238092093,0,,0.034048931,,9.369329019,0.694061993,21.86897534,10.38041386
Tata Communications Ltd,TATACOMM,Telecom Services,54795.525,22.00856474,23.2538336,8.944732177,143.4083396,9.82593053,5.77144707,0.910319094,-4.850901428,3.199717,0.593810099,-137.2529997,30.51043731,35.38391127,2.997934375,12.49798146,6.081868183,3.369142335,21.29917059,12.94322608,-1.429800351,1.673885263,-0.346141404,0,,0,1.092242478,6.895236848,15.16728527,21.20451355,-36.52419876
PB Fintech Ltd,POLICYBZR,Online Services,51551.4318,-8.15248127,-8.177307079,-8.007218033,-8.942720847,-17.29668707,-21.59074074,0.462933624,0.639795399,,7.482293576,77.7081833,-105.8072981,9.398962915,18.30115725,,8.835248827,17.91424142,,,2.671314897,-3.390196944,2.453625115,0,,-6.459117307,,81.6987899,18.03297312,63.35297758,112.5095428
ITI Ltd,ITI,Telecom Equipments,25079.14908,-3.534991167,-5.178777592,-3.758966522,-14.44510679,-24.84740098,-0.717005439,0.151282081,-21.27887158,1.756957187,0.966668376,497.8033693,-69.6933419,10.562577,17.31698412,,6.290599723,18.46441134,,,0.004331935,0.007565614,0.004338596,0,,,,-31.53500685,,-400.5493028,
Sun Tv Network Ltd,SUNTV,TV Channels & Broadcasters,23107.15169,18.3706922,24.53303276,17.91865875,19.57179494,41.09217269,242.843949,0.436060144,0.852094512,,7.225900067,44.57670436,13.54138319,2.490754367,5.564448566,11.02698231,2.028990421,4.563567199,12.42214496,6.832607449,2.116745637,-1.570708596,1.916128825,0,,,2.558199028,8.119423348,2.795021962,3.935314898,15.24090071
