Name,Ticker,Sub-Sector,Market Cap,Return on Investment,ROCE,Return on Assets,Return on Equity,Net Profit Margin,Interest Coverage Ratio,Asset Turnover Ratio,Working Capital Turnover Ratio,Inventory Turnover Ratio,Current Ratio,Cash Conversion Cycle,PE Ratio,PB Ratio,Price / Sales,Price / CFO,EV / Invested Capital,EV / Revenue Ratio,EV / Free Cash Flow,EV/EBITDA Ratio,DII Holding Change – 3M,FII Holding Change – 3M,MF Holding Change – 3M,Promoter Holding Change – 3M,Insider Trades - 3M Cumulative,Bulk Deals - 3M Cumulative,Dividend Yield,1Y Historical Revenue Growth,1Y Forward Revenue Growth,1Y Historical EPS Growth,1Y Forward EPS Growth
Maruti Suzuki India Ltd,MARUTI,Four Wheelers,397452.0139221,13.321996364132463,27.31928869150994,10.311932504627883,14.02094176468179,9.225489002488272,91.00258264462808,1.8361519198454777,-33.52651975509639,0.0,0.5776807428147985,-26.2678978628,29.46664595143163,6.43216786055804,2.7184421816514805,42.96128304063169,6.324025500599633,2.72668877651981,137.27410003860064,17.428497716703323,1.2185784458622138,-0.9529047303537652,0.8384902726655152,0.0,,,0.9500519855813564,21.95056443688932,0.8301429149185733,57.831404872244384,8.450787394233238
Tata Motors Ltd,TATAMOTORS,Four Wheelers,346704.91922737,6.769626852342034,21.119667392348664,0.7274851118498924,4.760419832792012,7.0624875292311655,3.7994974844178095,1.339658308683972,-123.42633184020774,0.0,0.9774306891565504,-24.2932932423,11.041877940646373,6.591409677150407,0.7798312525510771,9.797242603564596,2.315009265438578,0.9722272882034574,26.751237122497184,6.628363454438208,-1.257601445438311,0.5750938916663166,-0.8777607705842261,-0.0124434928884227,,,0.2874139483571927,26.11221803045525,2.934925459244253,1027.3570985826268,-20.46661500915192
Avenue Supermarts Ltd,DMART,Retail - Department Stores,304731.78841372003,14.627168432031052,21.15376639893831,14.16812854611247,15.986399015750056,4.979201056713541,60.54464132117669,3.034074250569612,16.415008846363325,0.0,3.7139419635857966,25.6661897897,120.15432262573876,18.9524197988728,5.982725301867783,115.85570622549017,18.1658108006406,5.963731394305087,726.1530130371962,71.47025998976993,0.0726700429491629,0.298334462388194,0.0949940967192404,0.0,-0.0174057180144598,,,18.539874188075565,21.749143668200123,6.227318162021794,32.272349063862514
Mahindra and Mahindra Ltd,M&M,Four Wheelers,301241.1489516,10.11190934780469,17.550745783288598,5.459131749824952,16.59546159360819,7.914698054701872,3.133726217614089,0.7559694568972305,7.189678253382718,0.0,1.2939388413703092,91.671335044,26.73269790778656,4.490633180017742,2.115812321276911,,2.376623615390448,2.6596101154575646,,13.432703942762238,-0.1349691636671863,0.8886596983388699,-0.3330187317367752,-0.7313881198090826,-0.7895275950664448,,0.8392045580221098,12.13198257787884,-19.354071005727647,13.630592717239743,-7.135360885900738
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches",298398.2451684,16.689389309388368,38.10700785111951,13.483239296382344,30.60695955172576,6.772831182920687,8.468497576736672,2.141470295386658,6.418153559216662,0.0,1.6893094089264171,165.4376518337,85.35418912139588,25.06705688578629,5.780895136742997,217.8089380791241,14.306391103775091,5.895448199628037,324.4256345078892,52.23330675736354,0.0180037724399753,0.1153505254012969,-0.0846950576476652,0.0,0.0017865168539325,,0.3280850393230378,26.254769592016448,8.3479199504049,7.761191852307691,19.06863959390863
Bajaj Auto Ltd,BAJAJ-AUTO,Two Wheelers,245139.36835092,20.686988778997858,33.819386848663555,17.25384162262485,20.466349809468586,16.55050753595779,167.3359840954274,1.3259954851165148,9.262226341061792,0.0,1.830938350212684,-16.3091274489,31.802249067351315,8.34899275926918,5.263433628496046,46.45060812876746,8.139237908948655,5.152908752406277,57.59037880191591,22.93242998928064,-0.1922388257676353,-0.1227975442187112,-0.3086296001198967,0.1166549783939814,-0.6640315039978568,,0.923417107267546,22.010395526167105,6.949704277318431,28.768522774458443,12.734712871287142
Trent Ltd,TRENT,Retail - Apparel,164753.534991555,11.97792653684312,32.05601391045503,5.626298825561201,17.531949117961876,11.125394903629305,7.01952366029458,1.690840136517044,11.07296763208372,0.0,2.173513226932851,44.6570385809,110.81082525662826,61.86834060900237,12.328141905770494,276.9525534419631,23.66360488214087,12.619938835137557,1843.606416610789,57.93569136513239,-0.9316855112960738,0.8992419574316415,-0.4948514188680875,-0.0002456712341327,,,0.0690461588735142,55.64153121036615,32.93959182940461,234.31121947918783,2.096556671449059
Tata Motors Ltd,TATAMTRDVR,Four Wheelers,151860.114896325,,,,,,,,,,,-25.1207017777,,,,,,,,,-2.0845045492130296,2.153726573860066,-2.4140208633148106,0.0,,,,,20.086542645522066,,77.35740084985837
TVS Motor Company Ltd,TVSMOTOR,Two Wheelers,103780.40461773,9.533388744664665,29.297019329564243,4.289931944587055,24.23947765455369,4.296422777152721,2.4021330898678204,1.2672991125481163,-24.302698954224898,0.0,0.8849313429108108,71.345786322,61.540708514578846,17.560581845178817,2.644049017841529,,4.401198942979831,3.1716695154853847,,22.20748027345625,-1.535896425092261,1.5565059085142856,-1.2395198325669554,0.0,,,0.3662249078715466,22.230232383605,-9.593903687017455,26.935902421218,55.295405633802815
Hero MotoCorp Ltd,HEROMOTOCO,Two Wheelers,101748.9405012,16.80200274726382,28.856410236360787,12.113092197462583,17.146799132152125,9.690796508360094,67.65182663349488,1.6658178759886215,9.11685560260932,0.0,1.5692543350486148,-21.7236950477,27.17050987660318,6.063475596637315,2.6330388224254957,38.92699648838491,5.669006615752556,2.545001249928836,48.938783782363565,16.6016294083826,-0.3376475980772291,0.5940949000656133,0.2836846675546276,-0.0060143886119448,,,2.74966602916814,11.265775039230652,8.440754482811442,33.227503276915094,22.534260247651567
