Name,Ticker,Sub-Sector,Market Cap,Return on Investment,ROCE,Return on Assets,Return on Equity,Net Profit Margin,Interest Coverage Ratio,Asset Turnover Ratio,Working Capital Turnover Ratio,Inventory Turnover Ratio,Current Ratio,Cash Conversion Cycle,PE Ratio,PB Ratio,Price / Sales,Price / CFO,EV / Invested Capital,EV / Revenue Ratio,EV / Free Cash Flow,EV/EBITDA Ratio,DII Holding Change – 3M,FII Holding Change – 3M,MF Holding Change – 3M,Promoter Holding Change – 3M,Insider Trades - 3M Cumulative,Bulk Deals - 3M Cumulative,Dividend Yield,1Y Historical Revenue Growth,1Y Forward Revenue Growth,1Y Historical EPS Growth,1Y Forward EPS Growth
CPSE ETF,CPSEETF,Equity,23025.673136880003,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
UTI S&P BSE Sensex ETF,UTISENSETF,Equity,15502.995608939998,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Bharat 22 ETF,ICICIB22,Equity,10739.054693185,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Nippon India ETF Nifty Bank BeES,BANKBEES,Equity,10625.94809425,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Kotak Nifty Bank ETF,BANKNIFTY1,Equity,8642.347920388,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
SBI Nifty 50 ETF,SETFNIF50,Equity,8375.508879793,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
BHARAT Bond ETF-April 2023-Growth,EBBETF0423,Debt,8369.700871194,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
BHARAT Bond ETF-April 2030-Growth,EBBETF0430,Debt,6636.666277530001,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
BHARAT Bond ETF-April 2032,BBETF0432,Debt,6496.905610791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nippon India ETF Gold BeES,GOLDBEES,Gold,5168.879891351,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Nippon India ETF Nifty 50 BeES,NIFTYBEES,Equity,4449.399917086,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Motilal Oswal NASDAQ 100 ETF,MON100,Equity,3724.72539368,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
SBI Gold ETF,SETFGOLD,Gold,2644.090741,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Nippon India ETF Nifty 1D Rate Liquid BeES,LIQUIDBEES,Debt,2580.8388,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
ICICI Prudential Nifty 50 ETF,NIFTYIETF,Equity,2180.653534008,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Kotak Gold Etf,GOLD1,Gold,1984.1380216,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
HDFC Gold Exchange Traded Fund,HDFCGOLD,Gold,1906.0882018,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
ICICI Prudential Gold ETF,GOLDIETF,Gold,1905.052968,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Nippon India ETF Nifty Next 50 Junior BeES,JUNIORBEES,Equity,1901.11000107,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Kotak Nifty 50 ETF,NIFTY1,Equity,1502.04666942,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
HDFC Nifty 50 ETF,HDFCNIFTY,Equity,875.43042121,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
LIC MF S&P BSE Sensex ETF,LICNETFSEN,Equity,676.6234261679999,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
UTI Gold Exchange Traded Fund,GOLDSHARE,Gold,651.5397,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
UTI Nifty Next 50 Exchange Traded Fund,UTINEXT50,Equity,599.22049201,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Aditya BSL Nifty 50 ETF,BSLNIFTY,Equity,481.92970356,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Nippon India ETF Nifty Midcap 150,MID150BEES,Equity,373.16630627,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Aditya BSL Gold ETF,BSLGOLDETF,Gold,353.227456,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Axis Gold ETF,AXISGOLD,Gold,319.1710272,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF,AXISBPSETF,Equity,298.533586836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirae Asset Nifty 50 ETF,NIFTYETF,Equity,286.834962568,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
SBI Nifty Bank ETF,SETFNIFBK,Equity,242.866097175,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
ICICI Prudential Nifty 100 Low Vol 30 ETF,LOWVOLIETF,Equity,235.24006723,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
NipponINETFNifty SDL Apr 2026 Top 20 Equal Weight,SDL26BEES,Debt,183.7082079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nippon India ETF Nifty PSU Bank BeES,PSUBNKBEES,Equity,163.46488893,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Kotak S&P BSE Sensex ETF,SENSEX1,Equity,142.89995898,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
ICICI Prudential Nifty Next 50 ETF,NEXT50IETF,Equity,141.05316456,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Quantum Gold Fund,QGOLDHALF,Gold,130.0258572,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
HDFC S&P BSE Sensex ETF,HDFCSENSEX,Equity,128.966509,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Aditya BSL Nifty Next 50 ETF,ABSLNN50ET,Equity,110.8809702,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
ICICI Prudential Silver ETF,SILVERIETF,Equity,105.953940543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIC MF Nifty 8-13 yr G-Sec ETF,LICNETFGSC,Debt,96.08053938,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
IDBI Gold Exchange Traded Fund,LICMFGOLD,Gold,95.11848704,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Mirae Asset S&P 500 Top 50 ETF,MASPTOP50,Equity,90.884969692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirae Asset NYSE FANG+ ETF,MAFANG,Equity,88.390709484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aditya BSL Nifty Bank ETF,ABSLBANETF,Equity,86.96789971,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
ICICI Prudential S&P BSE Liquid Rate ETF,LIQUIDIETF,Debt,86.396236029,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Motilal Oswal Midcap 100 ETF,MOM100,Equity,77.05321196,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Kotak Nifty PSU Bank ETF,PSUBANK,Equity,74.910257103,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Invesco India Gold Exchange Traded Fund,IVZINGOLD,Gold,74.215319455,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Mirae Asset Nifty Financial Services ETF,BFSI,Equity,70.75370617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axis NIFTY IT ETF,AXISTECETF,Equity,54.986265108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICI Prudential S&P BSE Sensex ETF,SENSEXIETF,Equity,53.792091600000006,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Nippon India Nifty Pharma ETF,PHARMABEES,Equity,45.057158312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nippon India Silver ETF,SILVERBEES,Equity,43.024297066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nippon India ETF Nifty 50 Value 20,NV20BEES,Equity,41.63824782,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
UTI Nifty Bank ETF,UTIBANKETF,Equity,39.20116296,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Mirae Asset Nifty India Manufacturing ETF,MAKEINDIA,Equity,38.618346536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirae Asset Nifty Midcap 150 ETF,MIDCAPETF,Equity,38.500961536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axis Nifty 50 ETF,AXISNIFTY,Equity,37.35465305,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Nippon India Nifty Auto ETF,AUTOBEES,Equity,36.765885389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSP NIFTY 1D Rate Liquid ETF,LIQUIDETF,Debt,35.335546641,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
DSP Nifty50 Equal weight ETF,EQUAL50ADD,Equity,31.948726656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBI Nifty 200 Quality 30 ETF,SBIETFQLTY,Equity,31.730069844000003,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Motilal Oswal M50 ETF,MOM50,Equity,31.504857429,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
Nippon India ETF Nifty 5 yr Benchmark G-Sec,GILT5YBEES,Debt,31.25718443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aditya BSL Nifty IT ETF,TECH,Equity,29.57509189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICI Prudential S&P BSE Midcap Select ETF,MIDSELIETF,Equity,29.289530724,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
