Name,Ticker,Sub-Sector,Market Cap,Return on Investment,ROCE,Return on Assets,Return on Equity,Net Profit Margin,Interest Coverage Ratio,Asset Turnover Ratio,Working Capital Turnover Ratio,Inventory Turnover Ratio,Current Ratio,Cash Conversion Cycle,PE Ratio,PB Ratio,Price / Sales,Price / CFO,EV / Invested Capital,EV / Revenue Ratio,EV / Free Cash Flow,EV/EBITDA Ratio,DII Holding Change – 3M,FII Holding Change – 3M,MF Holding Change – 3M,Promoter Holding Change – 3M,Insider Trades - 3M Cumulative,Bulk Deals - 3M Cumulative,Dividend Yield,1Y Historical Revenue Growth,1Y Forward Revenue Growth,1Y Historical EPS Growth,1Y Forward EPS Growth
HDFC Bank Ltd,HDFCBANK,Private Banks,1113173.12335174,,11.820352246144964,1.9769389592534008,17.088360211978802,15.701681666164504,,0.1753546594524376,-0.2642339590622649,,,,17.376485721524624,3.834590812384288,2.728400472760325,53.48271202869936,3.1584314441549246,2.247297369404367,52.855173930888846,11.974694239567388,2.792318929110184,-4.468333589262095,3.723045844361408,0.0,-0.0001678930438066,,0.9774309318517372,99.3465307640103,-54.17078223981279,9.349061034491177,7.049429329794293
ICICI Bank Ltd,ICICIBANK,Private Banks,794603.7071987,,8.178954584265897,1.830312354358606,16.63497043335735,18.664793511271853,,0.1275061491108927,-0.2391905992703194,,,,17.954561280075612,3.592492075615682,3.351181788780881,,3.0057885926326504,2.803887602404675,,10.80887952858752,-0.7445259730306617,0.8924841539268229,-0.7851046215701949,0.0,,,0.8788131438019829,27.356868773458643,-55.00545394469918,29.326898535807423,-1.970971672733019
State Bank of India,SBIN,Public Banks,729899.38702219,,6.09485913286385,0.981712287928221,16.163557342722534,11.046465298148313,,0.1048914071071328,-0.1517018623636371,,,,11.11304556051331,1.963319879121877,1.2275987214095143,,1.1416371648996684,0.7138278070974574,,4.651730720659372,-0.2117070875431537,0.1645851394842292,-0.1533492223663106,0.0,,,1.675123725129021,25.60252571020707,-60.89037644458251,20.55437744148286,3.8537122522282754
Life Insurance Corporation Of India,LICI,Insurance,613777.77690504,77.6626824138182,0.9175503749293896,0.8150902925682638,124.53719720789148,4.541887052402601,,0.1794607138319503,5.973160387188138,,3.315297120361113,,17.05097885288261,13.2422475549616,0.774436200826981,11.258153916991494,12.263142282617228,0.7171759386111545,10.598073034421962,13.55607699503974,-0.1345580410037842,0.0810751757141231,-0.1068714380549306,0.0,,,0.3091508656224237,8.145392660380324,5.974937706966463,772.7070883043675,1.339466152079156
Bajaj Finance Ltd,BAJFINANCE,Consumer Finance,415758.69586534,4.245401438273622,7.51523659608635,4.718833419483343,23.464808516968056,26.27956097592024,,0.225492134009868,-5.238199794054245,,0.3763507587869032,-20.9959502201,28.76989862172681,7.646561627245139,7.560603051007135,,2.317342809815538,11.422857836636926,,31.418402535368315,0.3193279477923365,-0.35880184292105,-0.2700081183341432,-0.0861355302931414,0.1610207571402833,,0.5233600684337235,32.80283988160559,-14.55019919021862,24.30479636963189,24.67366710287476
Axis Bank Ltd,AXISBANK,Private Banks,352467.24089745,,8.81626360793596,0.8515734737521538,8.700101098882907,19.072115415275487,,0.1086182203883516,-0.1785186118191745,,,,13.392889705570331,2.70763948633379,2.5543073820869235,15.966965056840886,1.8755714487444224,1.7693588904061155,11.803164213600828,6.940494084298429,1.2932716821181671,-0.8386952310884297,1.2440614032042916,0.0153126466353281,,,0.0872946945130485,29.98887002230233,-39.15043670258344,143.22887242893358,6.384391205325849
Kotak Mahindra Bank Ltd,KOTAKBANK,Private Banks,337262.46468221,,9.20042440874634,2.557053833852066,14.249607145779356,19.068722194719623,,0.1615163416851197,-0.327471482600816,,,,18.760953109208348,3.002842597941226,3.577474029476554,,2.620653404035547,3.12214816042116,,12.334259215677326,2.0270575855231563,-2.148765599401365,1.9095100586093616,-0.0127506003211586,-0.0239990143910232,,0.1178047835161175,38.34913635534487,-56.02086566156002,21.66413089426341,1.033097320940402
Bajaj Finserv Ltd,BAJAJFINSV,Insurance,252381.63916965,2.2139006679188675,7.751891794404663,1.7371833433232136,8.91796717575286,7.380840247161242,,0.2988330925240814,-1.057832610638314,,0.1622149252801253,,30.975471774511902,3.252421183225796,2.2862500874812453,,1.6920408764402708,4.442932207387843,,22.01825392812668,0.1275745077881653,0.2211262135624885,0.1039055232786521,-3.68539092931e-05,0.0,,0.0631113842211522,34.503211767056726,16.02238985048522,27.02390728699192,10.217375
Jio Financial Services Ltd,JIOFIN,Consumer Finance,226939.31119536,0.0272063003697445,1.7137845180301412,0.0533469082009818,0.0537179896648307,70.27636650315347,,0.0389765314574341,0.7887164358528825,,8.162681750788053,53.6566507174,141.43486410230906,1.988596696095779,99.39528345977575,110.43812895778868,1.9295855779215432,97.07348510658726,107.8583781183318,112.08509170852784,-0.479955910953814,-0.3843130934724712,-0.1664542256739363,0.0,,,,4058.834244080145,,-98.36444608,
Indian Railway Finance Corp Ltd,IRFC,Specialized Finance,220857.7514,1.3645432323090605,1.9339403400030832,1.3466854244611566,14.657695810153886,26.47853578984008,,0.050859512593513,0.0776873741035994,,2.967952065552009,,34.85204400813632,4.85718489335461,9.228310946185188,,1.3764939838531531,26.710436395832804,,100.65248712421682,-0.2697346506172932,-0.0642154504883725,-0.220189415683782,0.0,,,0.8875739644970414,17.885437600977248,,4.058898195844559,
