Name,Ticker,Sub-Sector,Market Cap,Return on Investment,ROCE,Return on Assets,Return on Equity,Net Profit Margin,Interest Coverage Ratio,Asset Turnover Ratio,Working Capital Turnover Ratio,Inventory Turnover Ratio,Current Ratio,Cash Conversion Cycle,PE Ratio,PB Ratio,Price / Sales,Price / CFO,EV / Invested Capital,EV / Revenue Ratio,EV / Free Cash Flow,EV/EBITDA Ratio,DII Holding Change – 3M,FII Holding Change – 3M,MF Holding Change – 3M,Promoter Holding Change – 3M,Insider Trades - 3M Cumulative,Bulk Deals - 3M Cumulative,Dividend Yield,1Y Historical Revenue Growth,1Y Forward Revenue Growth,1Y Historical EPS Growth,1Y Forward EPS Growth
Sun Pharmaceutical Industries Ltd,SUNPHARMA,Pharmaceuticals,367434.1573058,13.059524172773536,15.7560163736804,11.261483571327132,15.35325006219334,19.087175998612416,55.70017441860462,0.5900026055266536,2.360692019295372,1.253113202985053,2.002408198121264,,43.36232823739201,6.19457550122759,8.276643907767024,74.08947525286682,5.475677944068807,8.165436787901996,126.14083246830796,29.934055167095256,-0.6991070529847683,0.647914492739627,-0.7183943974275504,0.0,,,0.7509468460232467,11.739604067056696,13.170981339074348,158.91472868217045,15.744620695375971
Cipla Ltd,CIPLA,Pharmaceuticals,112958.59299804,11.875394119753674,23.942542329931,9.978816592576978,12.49989962284959,15.540902828210156,64.43902981753448,0.9445157126891746,2.467840474647339,0.0,3.2888738411678244,183.6590526505,27.40682340334098,4.763463953422392,4.259267793412381,34.889068613976185,4.462801743713866,4.12557579630522,53.24855116803908,15.989506196007484,0.0839243978133019,0.096908177712649,0.1643520120905783,-0.0006922278162377,,-1.8255578485339727,0.9289207160345976,14.172590047514769,8.986018576291084,47.02987303384113,16.47498530852106
Zydus Lifesciences Ltd,ZYDUSLIFE,Pharmaceuticals,105795.4417086,10.009002451731533,24.522218284727455,7.369050214647129,10.119740540652158,19.438918129391325,60.50615763546799,0.7463592689216519,4.538223293980502,0.0,1.810881719651872,177.8269592479,27.411696258219973,5.373518369214204,5.328537193512806,39.34671292346028,5.170205797416105,5.438084147603818,65.12482158670608,19.01825577901078,-0.4009486017512707,0.7236937094925802,-0.2731991389212291,0.0039969751582873,-0.4443984001531533,,0.2870267724165243,13.949150596877868,5.801707421491357,98.05899256608684,-0.9701101206082784
Divi's Laboratories Ltd,DIVISLAB,Labs & Life Sciences Services,103818.1249235,14.293578484536445,17.792613774960692,13.125032166902947,14.88760891388419,22.47709305894724,1209.484693877551,0.5839292533283522,1.055817776334533,1.2299782296539905,8.456915028880735,,56.93718529516612,8.131698368500574,12.79782412393971,42.20712229533323,7.799965930730168,12.27887173512143,50.13730988594208,36.70476677223936,0.3270631876661269,-0.1775147928994087,0.5661106862439258,-0.0030135393047174,-0.0046238993706901,,0.7671162820430865,-10.596889912604569,-3.354872370771319,-38.4086878683984,-13.91658299810765
Dr Reddy's Laboratories Ltd,DRREDDY,Pharmaceuticals,96579.021718625,18.877292120828304,31.18881414731141,14.5503320173159,21.211572173135515,19.28727770650861,43.08649912331969,0.9335900804782856,2.910945701790145,0.0,2.382788348246054,251.2735125623,17.314584649890644,4.147496649014863,3.339512025152921,16.404080122059447,3.724487653648719,3.1724102516459136,22.93144585433902,10.37608958489782,-0.3359624378620083,0.5300195665349889,-0.2577700882840057,-0.0014170690626009,,,0.6897062034244463,12.257881702649607,-0.2059589697131033,23.813385772524608,-5.164900662251657
Torrent Pharmaceuticals Ltd,TORNTPHARM,Pharmaceuticals,91336.2708928,13.648487070131925,23.798895729491925,9.050889676223346,20.49589252589495,12.883524446757422,6.539707293666028,0.7025165911414334,31.364518431983303,1.1612545716502272,0.975477759624034,,73.34891617837668,14.736243845713265,9.449925547272768,38.568942960394914,8.297773931802089,9.93009841327058,53.49337633851487,33.24245404452079,0.0491263820839193,0.0497501162964404,-0.0141505821440519,0.0,,,0.815207322043947,11.036578360866644,13.06151144973405,60.22414369901415,31.15661279098047
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,Hospitals & Diagnostic Centres,85595.72523538499,11.045039903531944,13.745627006167272,5.919058269230073,13.174846995809974,4.903968196949013,4.003413865546217,1.2069936083420352,12.661309884778651,21.451094890510948,1.3044001323348071,,104.49972559563548,13.105465257358413,5.124633309108951,62.17456616211592,8.210280589061277,5.340064254818652,359.3635182731062,41.68139877348708,0.6776766174710822,-0.6230087539868734,0.3539765720622032,0.0,,,0.2519716783833497,11.09352240453878,10.796999449194152,-22.40431981811295,9.062766354642635
Mankind Pharma Ltd,MANKIND,Pharmaceuticals,83749.0222086,17.034487006104964,31.101151288456187,13.64096130015063,18.391488995380065,17.993951565491002,72.55890247539519,1.1312947180848487,5.005014029867611,0.0,2.322890389342722,92.1170386426,43.78095268914898,10.985942055018242,7.877923421795999,46.185971548337285,10.595636993222698,7.767844735707869,84.15844624461137,29.167932539286152,1.3519878406875634,3.1320219824616,1.0133837112224209,-1.6200003175328843,0.0,-2.90466369923206,,19.576465453825588,6.935379175452835,49.22259242501073,13.240097134131004
Max Healthcare Institute Ltd,MAXHEALTH,Hospitals & Diagnostic Centres,81815.58650544,14.661513480808283,12.671648844779526,11.440683677034546,16.118976983740936,22.200695689261472,13.684474123539228,0.515329962500609,8.71639252270894,14.620248564575911,1.85838346547816,,74.14122799561403,11.04185069692655,16.459868407587802,67.66204080901106,10.006294522530576,16.303125070250935,92.76472006300584,58.73187306974353,3.39206556333521,-3.3632778587813874,1.709567451978037,-0.0021106325887387,,,0.1186721096151333,15.84370244174147,39.68247840808273,81.91542873275972,21.95847861287715
Lupin Ltd,LUPIN,Pharmaceuticals,75278.5234282,4.122957047214003,20.480772400236148,1.935041056857808,3.473316966016288,9.510113511556074,8.773402650749341,0.905745260537432,5.785748158452152,0.0,1.3173525354008144,209.047799952,39.32061104226731,6.001722374091314,3.739434743557073,39.67791287775927,4.575269716488903,3.882842494492323,196.58332938031285,19.885939473273133,-1.962738803709684,2.1700079586898724,-2.108250424617406,-0.0363773718655551,,,0.4835178101589171,19.88033993605507,6.625632016458197,344.59913824695315,25.258168846611177
Aurobindo Pharma Ltd,AUROPHARMA,Pharmaceuticals,68264.77764154499,6.434675895184718,9.829754415030749,5.270452843323865,7.496222720457986,7.665244172326624,19.596953302961285,0.6875779459643918,2.51226059764419,1.5608611780016286,1.8741792521911247,,35.416227051385185,2.542274653014411,2.714740280114268,28.60156180645019,2.09495494256794,2.677478245680918,,16.84222066499189,2.671950057484608,-2.700679005776184,3.1278544745973527,0.0,-0.0010239980618856,,0.6437491953135059,5.249065895637295,9.814312279462667,-27.214766169907247,55.13800034016542
Alkem Laboratories Ltd,ALKEM,Pharmaceuticals,65015.86005,10.077199474135128,14.05174386785412,7.073784654838811,10.766351991239627,8.329595254982081,13.153222801788372,0.8492350994615078,2.731037001423843,1.6420312628049585,2.354827832701671,,66.06161542213236,6.890923163751989,5.502665183566449,38.64241310549777,5.896421427700967,5.405527902709529,44.05945822611911,37.07767556819832,-0.2801932003512721,0.6242830259691381,-0.1532948605361088,0.0,,,0.9195064089596704,9.43331567384531,13.61813459536502,-40.19457711986978,100.8568519436683
Abbott India Ltd,ABBOTINDIA,Pharmaceuticals,56292.48214679,29.23939413213152,48.67009604447243,21.62756289274148,31.60312432905648,19.70123893340856,130.93975903614458,1.3889378026181056,2.7286918150612904,0.0,2.508341486874181,-11.7172791284,46.86275798504022,17.654626301313456,9.23254392141777,63.009975650936326,16.497085494119716,8.933407271359874,63.3886418243064,32.0145483620788,0.1666219436290195,0.0,0.3076759886042373,0.0,,,1.547669153632587,10.192057803489108,3.1614445530556745,26.51863193520192,7.372833905321261
GlaxoSmithKline Pharmaceuticals Ltd,GLAXO,Pharmaceuticals,38743.1599758,34.863560296444696,40.89500154982953,15.343988462108625,27.731458776088484,16.49637893912703,454.43888888888887,0.8985836434309148,2.25099369636164,0.0,1.880537712234989,,65.67082509966777,22.249816213245428,10.833308160892544,80.00982998946782,21.108867143930517,10.369510381064227,256.7999444345959,41.77732713260559,-0.7418425249244658,0.553326807709813,0.0098379022319825,0.0,,,1.3992129427197202,6.253138156116034,5.980874087744311,14.124651843191256,14.792173067574128
Global Health Ltd,MEDANTA,Hospitals & Diagnostic Centres,38160.26912984,11.616941208283578,19.889121855307994,9.004690259255227,16.12626446203339,14.27526583835357,9.484643485319989,0.9250124608742356,4.788238741539629,0.0,2.758627916724884,,79.8014787633367,15.715390814567114,11.391873236403583,59.20726917681376,10.70490319586723,11.34525823482139,93.02650755107337,43.49591312042483,-0.8927426791594986,0.7299620375698588,-0.3545184862974189,-0.0098482730433602,,0.0,,21.405790168022172,18.99435208383411,42.31132533349676,32.655383592656946
Biocon Ltd,BIOCON,Biotechnology,36604.28037447,2.1766285832782013,5.7819486434534415,1.2837889392163264,2.8956030889770608,6.545591887947156,2.5652709359605925,0.433419575908495,3.729278074866311,0.0,1.4492344930499252,83.6054015479,35.798807212195555,1.627667122054979,2.343243820863314,19.75939561374899,1.3705670139546655,3.554040686661076,439.92377475808223,13.646244315817023,-0.8308664001332655,-0.9207789438614028,-0.7415189905047477,0.0,-0.0020994502748625,,0.1639972139484225,35.24731387607034,4.732779491972439,121.85282040198818,-12.461929824561429
Fortis Healthcare Ltd,FORTIS,Hospitals & Diagnostic Centres,34014.639358140004,7.952697282996455,8.84113490474471,4.98818680981166,7.793289137870778,8.794588772719187,7.303199318305056,0.567188181133041,-85.98330229272376,12.807927077398876,0.9863031952197944,,57.77629704302485,4.199136011740176,5.081187733038751,41.36775841671025,3.925913832093967,5.293479512675842,98.12740739405184,28.156923153681745,1.739786243091185,-0.4776406492933134,1.4740003839259224,0.0,,,0.2219509488403063,6.29186864973954,2.1287946754144853,6.054546764663459,-2.56240053271817
