Name,Ticker,"Sub-Sector","Market Cap","Return on Investment","ROCE","Return on Assets","Return on Equity","Net Profit Margin","Interest Coverage Ratio","Asset Turnover Ratio","Working Capital Turnover Ratio","Inventory Turnover Ratio","Current Ratio","Cash Conversion Cycle","PE Ratio","PB Ratio","Price / Sales","Price / CFO","EV / Invested Capital","EV / Revenue Ratio","EV / Free Cash Flow","EV/EBITDA Ratio","DII Holding Change – 3M","FII Holding Change – 3M","MF Holding Change – 3M","Promoter Holding Change – 3M","Insider Trades - 3M Cumulative","Bulk Deals - 3M Cumulative","Dividend Yield","1Y Historical Revenue Growth","1Y Forward Revenue Growth","1Y Historical EPS Growth","1Y Forward EPS Growth"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1414997.84741462","43.40607114688454","58.09206352403299","29.70368203874087","46.557894969401055","18.412280970000918","74.05134788189987","1.6132537889866554","3.4507465836543028","1.5416666666666667","2.5315671059277287","-1680.2658382765","33.57291971942534","15.514306596217573","6.181540308573438","33.718523708200166","13.90922449708395","6.009160259033669","35.39274018820584","21.93561981588665","0.024803599563293588","-0.0016801837686344356","0.017378490253243672","0.11575762833876979",,,"2.973791858862812","16.92530086018429","5.442559642125403","10.567931705556136","9.996395700548073"
Infosys Ltd,INFY,"IT Services & Consulting","624544.842229245","28.99017765833472","39.34668071654373","19.9689215787838","31.802073503111576","16.120507399577168","118.33098591549296","1.2387278566248834","4.579499670634373",,"1.8088347879344664","88.3460275313","25.92010135834177","8.239921396256284","4.178451857449387","27.798319411992924","7.303135089652591","4.108905198632784","30.880422477335326","16.23403669554717","0.3500847736548174","0.1498358422603836","-0.16293692805467686","-0.07340873027838768","-0.008102141435392571",,"2.25183493547094","20.600955331784142","3.402935745443833","10.400777441186408","2.756356250321651"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","421859.281428725","21.660588101208116","27.62639412968713","16.304461193054877","23.313239772691595","14.444530900461027","56.20679886685552","1.1287636341678973","3.348335830130919","12.339331619537274","2.4999766693108114","46.2427682542","28.40611954943943","6.450644995699028","4.103130715940679","23.42491428889583","5.791789398061389","3.954104318757416","24.86770745220975","16.948940274690443","-0.4991182596542494","0.621715996748037","0.012286040767943263","0","-0.004833352508875694",,"3.0876628852838763","18.561313683433657","7.18384655786177","10.015556707904297","7.077486112450327"
Wipro Ltd,WIPRO,"IT Services & Consulting","254209.15703417003","12.981677301157438","17.497149145187272","10.12492010456768","15.854025630441972","12.236761387465464","15.65287287883299","0.8274182836431693","2.628443421757353","5.149881046788264","2.4690517006345405","85.1601652609","22.397282558076647","3.2705470575679176","2.74070202390826","19.464564362766748","2.4331881940782667","2.4971990973277505","20.00772733457462","12.118253862912793",,,,,"0.0004379621039221404",,"0.21588198493818736","13.977087426839162","-3.206786173645583","-7.266658814827902","0.5179503985902821"
LTIMindtree Ltd,LTIM,"IT Services & Consulting","148228.6670865","26.889908689804873","33.01275640598262","20.013483666376864","28.539982714027207","13.065539613336137","39.50731382978722","1.5317762800970642","3.1313858790227154","13.72972972972973","3.134607667894794","48.3831773404","33.624904631377184","8.929868131385852","4.393275234559082","47.89913626526854","8.312057138858743","4.1765377812767674","65.38113816475665","21.143949687378097","-0.030030916504472316","0.534976055045508","-0.17525856231289705","-0.013810604894914036","-0.0042625806328450535",,"1.1973664479923292","25.546149695808307","5.851232516990261","-11.203422431974658","6.339766836909953"
Bharat Electronics Ltd,BEL,"Electronic Equipments","144368.13187275","21.543004952398416","26.41474283799629","8.600370046279549","22.79779922197414","16.5660851590098","209.33297928836947","0.5191552478288489","2.0954495676847946","1.6987893390099846","1.46101687663395","419.7057877921","48.373932580786274","10.401626864654617","8.01366686609504","113.95744744703441","9.779670050955046","7.567794926559404","201.55769706649818","31.19408997308128","-0.8212687607158777","0.591237683259866","-0.5204440502231265","0",,,"0.9113924050632912","15.484380488880545","11.872726091908865","24.409409430273225","22.468509635138815"
Tech Mahindra Ltd,TECHM,"IT Services & Consulting","123330.41490659499","16.563085155243787","20.83018008872153","10.707348073583786","17.324000731500032","8.904768575178043","20.795761670761664","1.2024285620886785","4.705037593332929","5.469578783151327","1.8341490879063131","-86.9757781757","25.527376670170565","4.34343081302479","2.27315381579268","22.13395816701274","3.838230246655521","2.202607582436246","26.225183222128464","13.69221509505202","1.8874919675076214","-1.6470782957597336","1.8838579015165937","-0.023762778957156172",,,"3.5672945990914173","18.561835270568228","-3.681306123652656","-13.495318781058858","-44.81522139316538"
Oracle Financial Services Software Ltd,OFSS,"Software Services","72621.74720412","24.15933987840565","32.18287673964191","20.395331544259264","24.811863778110542","30.66356544400398","203.99368088467617","0.6651324217825887","1.004449135922893",,"6.552128174896949","-807.5686423145","40.2084828911097","9.736241247597839","12.329354465356568","41.29943199242501","8.929149730035027","11.412511940123762","39.0756251586186","25.240651243276925","0.9096069242079903","-0.8415269280665845","1.1599691011388407","-0.02743607665090053","-0.05292533914793675","0","2.676796692919165","9.977034243250316",,"-4.563887353883041",
Persistent Systems Ltd,PERSISTENT,"Software Services","60500.67726806","20.959646787650566","27.637394229614003","15.302709860062842","25.120716293188224","10.937739350995884","27.21144909167724","1.3990742848218929","5.665583498163323",,"1.7965793545817141","-29.0105682128","65.68378472034216","15.258374930155254","7.184321168580286","63.301118762095086","12.999772158136112","7.1325613858412265","114.96535097052406","38.500853968719746","-2.531868703282413","3.206241143971397","-1.7785141371465727","0.001299967500809629",,"0","0.6316458215943769","43.8365008685315","16.568759121313906","33.41589536349022","19.695442356338607"
L&T Technology Services Ltd,LTTS,"Software Services","56788.226846369995","22.372812597960603","31.304735045272402","18.023681311485536","25.583099145990783","14.228374039116492","38.78620689655176","1.266742163365612","2.499384395567648",,"3.3958649844771784","110.6905564052","48.54524435490675","11.428732082829198","6.907198945019217","43.51254834600414","10.042545194883","6.624224828059014","48.21328509770715","28.38470154081928","0.5565188148005067","-0.2638353566197216","0.4209474741153967","-0.023023472823055613","-0.023348331319681892",,"0.8362556428901003","22.307017152377995","17.24785929746034","21.954492564884074","11.233682604718611"
