Name,Ticker,Sub-Sector,Market Cap,Return on Investment,ROCE,Return on Assets,Return on Equity,Net Profit Margin,Interest Coverage Ratio,Asset Turnover Ratio,Working Capital Turnover Ratio,Inventory Turnover Ratio,Current Ratio,Cash Conversion Cycle,PE Ratio,PB Ratio,Price / Sales,Price / CFO,EV / Invested Capital,EV / Revenue Ratio,EV / Free Cash Flow,EV/EBITDA Ratio,DII Holding Change – 3M,FII Holding Change – 3M,MF Holding Change – 3M,Promoter Holding Change – 3M,Insider Trades - 3M Cumulative,Bulk Deals - 3M Cumulative,Dividend Yield,1Y Historical Revenue Growth,1Y Forward Revenue Growth,1Y Historical EPS Growth,1Y Forward EPS Growth
Larsen and Toubro Ltd,LT,Construction & Engineering,474393.30073395,8.882511752196509,17.761296665449688,3.2279686749494,10.51506201652369,5.794124712082034,3.215491185919067,0.6948299127773128,4.139277542696414,0.0,1.371073104233652,85.185290845,36.32661802633947,4.580535238214852,2.104809552127782,20.82777072682,2.4582898186251247,2.445553437112691,29.5812248122005,16.473068166497256,1.232554456537251,-0.8001940643091174,1.0656067569636427,0.0,-4.26899753172e-05,,1.0073159630641502,20.911102258265917,10.898416392403089,26.10195047211641,20.72270114942529
Adani Enterprises Ltd,ADANIENT,Commodities Trading,348897.34308205,7.07309685718084,9.827206782079134,2.0364742792740187,7.630361863186419,3.2974050174018403,2.0815509254177016,0.809361618585877,-9.502476830623648,0.0,0.8263216455129727,-65.3294878431,107.65844737441276,9.208152089586845,3.549935045380806,19.793954264330445,4.406585857100262,4.084116428602315,138.33015814030549,32.05290055186899,0.3257211709355854,-0.2425966035519362,0.2260827601414261,0.0,,,0.0424767194902793,-28.87693824478851,26.525388384572903,23.36016481790909,81.51910976505141
Hindustan Aeronautics Ltd,HAL,Aerospace & Defense Equipments,303068.76675,24.93759411670601,28.19672464635852,8.998262492015392,27.17353064397568,23.59152902194081,319.4328869511056,0.4987893955964294,1.5753514273738702,0.0,1.6398176019248942,565.7476419849,39.76732428602359,12.855029725282906,9.38171985018657,34.32371204862669,11.969384369876222,8.754519902687516,40.12308813932043,24.24585968899604,0.437329744682442,-0.5158048671077733,0.0524802811109861,0.0,,,0.485469029282609,12.949901137919165,-0.3953143797490026,30.76580501189129,-21.80598508117596
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,Ports,288529.75888365,7.658710357907629,12.854864574471184,5.032553642502354,11.860471972711572,28.750959766720847,4.693359532225369,0.2673510833981493,5.018377307169917,0.0,1.3499507913615627,-35.0321952575,35.57422828329825,6.132691352833138,10.227932061052508,24.17864026008422,3.3411167494489904,11.865559950189615,119.1848974294367,20.025402667143485,-0.1783115854151677,0.2601959014261474,-0.3693579072062882,0.0,,,0.4492026652691472,25.639185914505624,11.270264601392846,51.06157622834809,32.7596005326232
Siemens Ltd,SIEMENS,Conglomerates,255884.867426425,14.947742805687628,19.28425535613402,9.255203662623302,15.869059420964245,9.76558414717351,116.77631578947366,0.9477368197479586,2.451554220692013,4.260973834097041,2.077118603991298,,130.4935832660641,19.53960975178303,12.743460680509418,182.77490530458928,18.71899927106865,12.371597555064318,207.360573811707,83.26952281916837,-0.2993390533206259,0.4154877402297714,-0.2721839003513016,0.0,0.0,,0.1391720653830363,20.78450951613293,13.023513797516898,27.09184004148042,31.54828691281434
ABB India Ltd,ABB,Heavy Electrical Equipments,177395.917505625,21.00614323993341,27.88912031508113,12.225250523883076,22.823389541170968,11.55587767637589,98.3930465527402,1.0579248817141436,2.659924594046469,4.280094719965654,1.904105573017215,,142.82510165100024,29.84152297978417,16.504694037949108,131.26048295618506,28.802273016398377,16.06116064959886,147.74796945020967,96.45949068567867,-0.9693996284950988,1.1732632086863024,-0.5473771388223803,0.0,,,0.284303009669886,18.290803917123235,17.45221194971068,22.221347529594865,34.756102301990545
Interglobe Aviation Ltd,INDIGO,Airlines,168529.87497807,,8.107041373007146,-0.5817044827846626,,-0.5471943984243772,0.9039107485604608,1.063067320242414,1022.626406807568,47.90820013411668,1.0963291078207968,,-551.1474752373282,-26.97984554224198,3.0158481115560414,13.24093883048396,,3.3998129428004877,15.626269723664144,23.848849584318632,0.3815947979882548,4.965280223412453,0.0776652888956661,-5.8347209721505,,-5.291182336194936,,109.63501250913,18.39099467384685,95.0416149030812,2521.690845056182
Eicher Motors Ltd,EICHERMOT,Trucks & Buses,128521.6246657,19.255315737147605,32.90659810838272,16.492069183221084,21.116823222316736,22.154759551412912,103.2409591194968,1.0221088266930258,11.37734280008316,0.0,1.1387042521749344,0.5977964456,32.12229528686509,8.573664045348053,7.116617283199802,45.1355329541767,8.360207888614797,7.072950200682527,58.99990515605297,21.83283901644305,1.3128356971216295,-1.3198751908311372,0.9419402915569766,-0.0054087209237536,,,1.0852306066219797,17.63176715653385,-2.100547029049175,37.17942880251493,7.640197017375841
Havells India Ltd,HAVELLS,Electrical Components & Equipments,113658.36773595,16.45297179694972,23.942965623676944,9.886511705137996,16.973410598701022,6.74537939176081,38.35222052067385,1.7378602578797224,6.073090611339636,0.0,1.8422881784572704,49.1286437404,89.44125384490373,17.154814802911496,6.033151904586609,201.1901788468483,16.32906640616627,5.936122183747307,,53.466961692093975,-0.2328845572856828,0.877491768047399,-0.2415243316864663,0.0,,,0.4960996497063472,9.522782449351674,10.243771076656513,18.53285662153713,24.367461538461537
Cummins India Ltd,CUMMINSIND,Industrial Machinery,105082.362,20.285670969771743,26.66643442833704,16.341963044795843,22.528227925537504,14.81801882672032,98.9858374384236,1.1028439925671776,2.820609505011145,6.551307283129924,2.697103710952998,,85.56150470219444,18.24904172108144,12.678519875196365,128.20237903520973,16.794711402875294,12.430208416282388,156.66712591240878,58.88549872254329,-0.5554577922077932,0.8564985569985559,0.0178167388167374,0.0,,,0.6594827017687327,24.86734703101412,8.093965266366006,31.53019041703236,22.92517115987472
