Name,Ticker,Sub-Sector,Market Cap,Return on Investment,ROCE,Return on Assets,Return on Equity,Net Profit Margin,Interest Coverage Ratio,Asset Turnover Ratio,Working Capital Turnover Ratio,Inventory Turnover Ratio,Current Ratio,Cash Conversion Cycle,PE Ratio,PB Ratio,Price / Sales,Price / CFO,EV / Invested Capital,EV / Revenue Ratio,EV / Free Cash Flow,EV/EBITDA Ratio,DII Holding Change – 3M,FII Holding Change – 3M,MF Holding Change – 3M,Promoter Holding Change – 3M,Insider Trades - 3M Cumulative,Bulk Deals - 3M Cumulative,Dividend Yield,1Y Historical Revenue Growth,1Y Forward Revenue Growth,1Y Historical EPS Growth,1Y Forward EPS Growth
Tata Consultancy Services Ltd,TCS,IT Services & Consulting,1387210.93527638,46.99617475337226,63.17426133161581,31.843957118728127,50.30324613066704,18.713898457085783,80.68766066838046,1.7016207067571645,3.672600155697946,1.5,2.4506333506854068,-904.3622950654,30.217193850230466,15.190824858752068,5.6548149737129,31.287178837033245,13.60272735329555,5.508407293791167,32.433154168499904,19.94236917468093,0.5798394841371,0.2295617217294747,0.543334811615245,-0.6467505245128677,,,1.9039670326804203,7.16797651447969,4.12188505594848,9.536672674950132,10.870400340328343
Infosys Ltd,INFY,IT Services & Consulting,597979.96547861,27.58004544515596,37.49820006994014,20.131534518218373,31.941603350866934,16.563224124105794,77.57021276595745,1.2154357368695703,3.847327317114644,,2.305304944063515,99.1357170862,22.794951605939467,6.759814669499667,3.775578923473207,23.7199510304883,5.979993446381016,3.65563398058233,25.16332589328567,14.0748484412342,0.0942910338120057,0.3389446432008647,-0.3326247145050018,-0.0743412685909401,-0.0104520554352334,,3.184684106558283,5.963149302860815,2.6450012328183385,9.571231713538785,1.500894003891298
HCL Technologies Ltd,HCLTECH,IT Services & Consulting,361029.29572644,21.66058810120812,29.964215597543824,16.304461193054877,23.313239772691595,14.094140456699698,38.91500904159132,1.2231145462230542,3.628215983846805,0.0,2.4999766693108114,38.2760422349,22.99256755358808,5.520494445188538,3.240604765604265,20.04715951615525,4.925166624778322,3.103074247149576,21.146763868757034,13.45531061870704,-0.1660938192647201,0.2280397831376319,-0.2786798935191807,0.0,-0.007891614934933,,3.9085632845408393,8.358783823214733,2.647155105557943,5.962856990801956,6.570950853595453
Wipro Ltd,WIPRO,IT Services & Consulting,240739.6008455,12.981677301157438,17.72211154052651,10.12492010456768,15.854025630441972,11.954831147155948,12.728011472275336,0.8241872298441609,2.6181793965705347,0.0,2.4690517006345405,89.2536546545,21.795857100414658,3.097253467857933,2.6056579134299733,18.43321267413726,2.291691449675082,2.3612003845121445,18.84422165604188,11.254734789509524,0.1532444460863526,0.2828145488508973,0.3621014540298688,-0.0125929190420635,0.0,,0.2279607393933494,-0.3904982356422892,-2.2717556128241885,0.9528838378149508,8.720418382000954
Bharat Electronics Ltd,BEL,Electronic Equipments,181428.71053578,21.543004952398416,26.41474283799629,8.600370046279549,22.79779922197414,16.5660851590098,209.33297928836947,0.5191552478288489,2.095449567684794,1.6987893390099846,1.46101687663395,,60.79194970405647,13.071816647125448,10.0708461577964,143.2113339562225,12.438110839022665,9.624974218260764,256.3478075956595,39.67368495931417,-0.7240680769987229,-0.2118778606345159,-0.2714982281169078,0.0,,,0.7252215954875101,15.484380488880545,13.410190749609788,24.409409430273225,24.89083878091415
LTIMindtree Ltd,LTIM,IT Services & Consulting,141101.11389267,26.889908689804876,34.837878080760966,20.013483666376864,28.539982714027207,12.651129658824548,28.283265674334704,1.644321764771311,3.3614608227569085,0.0,3.134607667894794,51.0854859853,30.79398395772023,8.500476763498844,3.895786837608817,45.5959134921056,7.891631897970297,3.6938839636949217,62.07414925656289,18.87187929593471,0.6570529106395249,-0.7852376176121663,-0.8421443011225858,-0.0440544745294175,-0.0060718701519969,,0.9433874813437249,7.347383957865916,-3.282409724666725,3.871272911723368,1.2082945776062632
Tech Mahindra Ltd,TECHM,IT Services & Consulting,127511.70475282,16.563085155243787,11.125877524902956,10.707348073583786,17.324000731500032,4.455160242541517,9.22131565527793,1.172901520012145,4.589499882927338,0.0,1.8341490879063127,-126.9948717633,54.08079767275415,4.49068680960954,2.409386196765861,22.8843691229038,3.972526160444388,2.3370640073166813,27.1427766750395,22.762427950166533,0.5050442606889334,-0.4269132676415452,-0.2379581151416925,-0.0213541182248775,,,2.7602543553337293,-2.4556171574337537,-1.5940476617872397,-51.5086948695382,79.93248312078019
Oracle Financial Services Software Ltd,OFSS,Software Services,67511.0177562,24.15933987840565,38.01341867049487,20.395331544259264,24.811863778110546,33.050043558222825,108.51796513696192,0.7582937585856641,1.1451366459415488,,6.552128174896949,86.7039377763,30.419137839827705,9.051056757113304,10.053538306098895,38.392999258538914,8.250281637738086,9.249335868327588,36.10477172813886,19.8773251051941,0.795364498795923,-0.7693786723766962,1.1313665138419564,-0.0303742084286113,-0.0061842296957404,0.0,3.0713983656535437,14.00643447110852,,22.53853234584439,
Persistent Systems Ltd,PERSISTENT,Software Services,53926.56047493,20.959646787650566,32.06022690215062,15.302709860062842,25.120716293188224,10.990380527477972,31.978172480205465,1.6529980246314668,6.693853523325125,,1.796579354581714,-160.5300550723,49.315555989876486,13.600371360711511,5.419967262528882,56.422700756392814,11.57694174267225,5.376158510226029,102.3823459689354,29.65592056091609,-0.2611120937166475,0.4083672304816872,-1.34128111396371,-0.0403263589296365,,,0.7369948991735985,18.14941083288506,9.80872238248534,20.21820234721897,15.397018221976824
L&T Technology Services Ltd,LTTS,Software Services,47108.7170939,22.372812597960603,34.41257236158528,18.023681311485536,25.583099145990783,13.22935481906927,36.43811394891946,1.5183464682182009,2.995819969903783,,3.3958649844771784,103.4817928338,36.13462997154252,9.480713456479302,4.78037841149311,36.09586782154624,8.257678651306447,4.544295769884115,39.64431399955737,21.06110007708225,0.7613969705355785,-0.1180228831913794,0.1232496395770685,-0.0078107612538644,-0.0204259995911957,,1.1200917103054069,19.86231390483604,9.52408642055488,11.269768146520631,6.745803470082707
