Name,Ticker,Sub-Sector,Market Cap,Return on Investment,ROCE,Return on Assets,Return on Equity,Net Profit Margin,Interest Coverage Ratio,Asset Turnover Ratio,Working Capital Turnover Ratio,Inventory Turnover Ratio,Current Ratio,Cash Conversion Cycle,PE Ratio,PB Ratio,Price / Sales,Price / CFO,EV / Invested Capital,EV / Revenue Ratio,EV / Free Cash Flow,EV/EBITDA Ratio,DII Holding Change – 3M,FII Holding Change – 3M,MF Holding Change – 3M,Promoter Holding Change – 3M,Insider Trades - 3M Cumulative,Bulk Deals - 3M Cumulative,Dividend Yield,1Y Historical Revenue Growth,1Y Forward Revenue Growth,1Y Historical EPS Growth,1Y Forward EPS Growth
NTPC Ltd,NTPC,Power Generation,354364.66386703,7.611715928937491,9.808557586254036,3.927996763224108,11.66029853654292,9.4533347605288,3.089382073267145,0.4155144044644393,-10.38479711394184,9.00769823871066,0.8107786265378747,,20.952763709022594,2.347506895608267,1.980734894996497,8.847714105122773,1.543086549284758,3.2135516897707253,37.74183822043479,11.4624840947481,-1.150266034311624,0.81674208336727,-1.1885502956102911,0.0,,,1.983855520591052,30.03749453499982,3.91602328937068,1.4191138109488497,17.177039591066936
Power Grid Corporation of India Ltd,POWERGRID,Power Transmission & Distribution,291248.408591985,11.947526015292857,12.89475613300908,6.151433614619814,19.360744997979427,32.21465739831212,2.8374226951797503,0.1909513901874405,-2.6520511674546303,0.2296379631508087,0.6440506806198544,,18.89123316105634,3.5084036344006004,6.085746041150629,7.663475887270509,1.957904559340636,8.57807628760954,13.199240715100748,10.094313463591256,0.4905208724921817,-0.683703297522424,0.393479011816833,0.0,,,3.532652083539365,3.2702091558864943,0.270643143588654,-8.360143429381603,4.483959907863835
Adani Green Energy Ltd,ADANIGREEN,Renewable Energy,290353.1532174,6.309583746122489,10.8329941663275,1.5477145785496929,19.550381372942592,10.516252390057362,1.2760687175389531,0.1662124691132421,-3.1061618411284337,0.0,0.9083238886790076,26.3423993107,263.9574120158182,39.50383036971429,27.75842764984704,39.966022466262906,5.548213554925049,32.65967047967495,87.842672465261,41.20373335151369,0.0459156620903575,0.1227523442230804,0.0416048287615981,0.0,,,,20.3405430280718,12.302386233269589,0.3561107144763937,66.88180354267311
Adani Power Ltd,ADANIPOWER,Power Generation,245282.03195289505,19.467086206349897,35.51818331916304,12.784855319912502,43.8695133661933,34.55255245889783,7.136646311048409,0.7184822090330232,135.03764518766573,0.0,1.1019133155513878,98.6741047291,11.776105666862788,8.163927970870482,4.068945088158005,29.09449725615056,3.945679089980864,4.72744567573482,54.942290976776846,10.137602062717065,0.2291426215243266,0.0434681498889695,0.2264726803721521,0.0,,,,40.0575085988738,,85.6081570132119,
Tata Power Company Ltd,TATAPOWER,Power Transmission & Distribution,139412.66443561,8.846946851910173,12.33907786545681,2.7729014383069432,11.078522620150087,5.702639205337904,2.237156880096348,0.5386870754996144,-4.783045169098168,0.0,0.7051397076800329,10.3469872228,37.71732551521406,4.075902681770793,2.150882992035513,19.47340870128214,2.1278819320047537,2.860325405446424,,13.100716062385128,-0.6369136894733884,-0.4082704140862923,0.1687965526250225,0.0,,,0.4586372206488575,6.042128267553504,4.476417108735307,6.169059430890469,15.01175090252709
Gail (India) Ltd,GAIL,Gas Distribution,134065.87392076998,7.214606872193492,15.469096975208366,5.495389929521825,8.679227437485926,7.283210839448834,18.512527808676317,1.3299934683533157,8116.951328755346,0.0,0.9456959010947956,26.5575089042,13.54307449685631,2.059162841231001,0.9863706697496694,41.83427224498157,1.8204640768727327,1.1106567576840798,,8.887128672068101,0.3117527235217814,-0.0701631779629554,0.0969607767801488,0.0013901762499912,,,2.697408891532798,-8.479887147166554,3.2054756036620486,77.46554741482352,3.290169322709158
Adani Energy Solutions Ltd,ADANIENSOL,Power Infrastructure,115470.225080745,8.58558001889006,9.69012538991177,2.4780696174380274,10.572280551314046,6.605061704662078,1.6432508828813202,0.3396255034475767,-25.00444373447957,0.0,0.9894175671804926,-45.0293017519,101.53192272856718,9.049397772313691,6.706246146151683,30.572022981460105,3.1485607507873685,8.599965680763383,,23.42191739847124,-0.0265898651349556,-0.00250741223374,-0.0333782556958287,0.0,,,,15.745252096660156,8.314506592110373,-10.071047363351935,57.119215686274536
JSW Energy Ltd,JSWENERGY,Power Generation,103594.2412855,5.30329277553514,10.70828313665709,3.7444103445619694,8.175454494657705,14.406519566644509,2.0552790493815136,0.3029930248397599,32.934930799421586,0.0,1.0686782253748217,144.8106260562,60.13446330810176,5.529691787177234,8.663283222778341,49.70288939796667,2.8243678244500146,10.341796500666923,,21.12599360500673,,,,,0.1948839608625579,,0.3167234428560121,8.645108183101735,37.11131976065931,16.535076920474253,56.907857142857154
Adani Total Gas Ltd,ATGL,Gas Distribution,100484.148233295,14.323007987531664,29.19410300904131,10.864018368777064,20.402113794731957,14.713467617145648,9.042261103633916,0.901871170065255,-3.721975411954368,0.0,0.3911971076471366,-26.3340805698,150.5380497877079,34.16712509972764,22.149367206997,117.8215960993082,23.271426693091986,22.380870118830813,,87.10613760105608,-0.0197338616325453,0.0713328612027268,-0.0282025965022908,0.0,,,0.0273627756799649,2.352455447286883,,22.15863426247496,
NHPC Ltd,NHPC,Renewable Energy,99696.970439625,6.193632357116364,7.337922742220439,4.761906219222276,9.786320012800273,34.164438062365804,10.958872431915912,0.139381956481462,4.498050431986346,6.31570424587881,1.355269218861304,,25.62917301364659,2.389985308206601,8.756062940143861,21.24724713827434,1.8413891095096564,11.523479208296555,,18.88168061702212,-2.106475000909663,-0.5779052848189705,-2.151285547486961,-3.550273592108269,0.0,,1.863979848866499,11.967245840089902,19.178106718308825,10.398828460907628,28.83326918472997
