Name,Ticker,"Sub-Sector","Market Cap","Return on Investment","ROCE","Return on Assets","Return on Equity","Net Profit Margin","Interest Coverage Ratio","Asset Turnover Ratio","Working Capital Turnover Ratio","Inventory Turnover Ratio","Current Ratio","Cash Conversion Cycle","PE Ratio","PB Ratio","Price / Sales","Price / CFO","EV / Invested Capital","EV / Revenue Ratio","EV / Free Cash Flow","EV/EBITDA Ratio","DII Holding Change – 3M","FII Holding Change – 3M","MF Holding Change – 3M","Promoter Holding Change – 3M","Insider Trades - 3M Cumulative","Bulk Deals - 3M Cumulative","Dividend Yield","1Y Historical Revenue Growth","1Y Forward Revenue Growth","1Y Historical EPS Growth","1Y Forward EPS Growth"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1942700.6848754399","6.737209547497355","10.564488872765857","4.297111551474889","7.765685894991749","7.58805372814188","5.530106410589151","0.591081860419571","27.021292887645412","0","1.0746772526614494","12.3184831132","27.903946867689918","2.3437630792302393","2.1173664805924743","16.88835006672439","1.8119134312932696","2.528846271504379",,"12.98564832001567","0.41048404863207466","-0.08015646052114533","0.5345524656951026","0.016105124056608133",,,"0.38363011623474624","3.0895123768133192","8.233195286722292","14.971949653523208","14.372643343051493"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1387210.93527638","46.99617475337226","63.17426133161581","31.843957118728127","50.303246130667034","18.713898457085786","80.68766066838046","1.7016207067571645","3.672600155697946","1.5","2.4506333506854068","-904.3622950654","30.217193850230462","15.190824858752068","5.6548149737129","31.287178837033245","13.60272735329555","5.508407293791167","32.433154168499904","19.942369174680934","0.5798394841371","0.22956172172947475","0.543334811615245","-0.6467505245128677",,,"1.9039670326804203","7.16797651447969","4.12188505594848","9.536672674950132","10.870400340328343"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1113173.12335174",,"11.820352246144965","1.9769389592534008","17.088360211978802","15.701681666164504",,"0.17535465945243767","-0.26423395906226493",,,,"17.376485721524624","3.834590812384288","2.728400472760325","53.48271202869936","3.1584314441549246","2.247297369404367","52.855173930888846","11.974694239567388","2.792318929110184","-4.468333589262095","3.7230458443614083","0","-0.00016789304380669705",,"0.9774309318517372","99.3465307640103","-54.17078223981279","9.349061034491177","7.049429329794293"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","799751.136594295","8.315411625779102","10.950850792887143","2.071548971771143","8.41408352585173","4.844699702583332","1.5598360981468324","0.3825615484033666","-2.437552882083432","0","0.47146202397760645","-219.3880073838","107.10474576058566","7.51332985039401","5.188903299315728","12.24272535299558","3.1177145975670646","6.725157769649321","26.724257829333062","13.8454475176325","-0.29930173777813707","1.6665524209748206","-0.2313949678638032","-1.0823633036615306","0","-0.8211251022635906","0.5969278918851686","9.439302438695352","7.380836438993244","-7.056616773685169","163.74061115355238"
ICICI Bank Ltd,ICICIBANK,"Private Banks","794603.7071987",,"8.178954584265897","1.830312354358606","16.63497043335735","18.664793511271853",,"0.1275061491108927","-0.2391905992703194",,,,"17.954561280075612","3.592492075615682","3.3511817887808815",,"3.0057885926326504","2.803887602404675",,"10.808879528587521","-0.7445259730306617","0.8924841539268229","-0.7851046215701949","0",,,"0.8788131438019829","27.356868773458643","-55.00545394469918","29.326898535807423","-1.970971672733019"
State Bank of India,SBIN,"Public Banks","729899.38702219",,"6.09485913286385","0.981712287928221","16.163557342722534","11.046465298148313",,"0.10489140710713281","-0.15170186236363714",,,,"11.11304556051331","1.963319879121877","1.2275987214095145",,"1.1416371648996684","0.7138278070974574",,"4.651730720659372","-0.2117070875431537","0.16458513948422926","-0.15334922236631066","0",,,"1.675123725129021","25.60252571020707","-60.89037644458251","20.55437744148286","3.8537122522282754"
Life Insurance Corporation Of India,LICI,"Insurance","613777.77690504","77.6626824138182","0.9175503749293896","0.8150902925682638","124.53719720789147","4.541887052402601",,"0.17946071383195036","5.973160387188138",,"3.3152971203611132",,"17.05097885288261","13.242247554961601","0.774436200826981","11.258153916991494","12.263142282617228","0.7171759386111545","10.598073034421962","13.556076995039739","-0.1345580410037842","0.08107517571412313","-0.1068714380549306","0",,,"0.3091508656224237","8.145392660380324","5.974937706966463","772.7070883043675","1.339466152079156"
Infosys Ltd,INFY,"IT Services & Consulting","597979.96547861","27.58004544515596","37.49820006994014","20.131534518218373","31.941603350866938","16.563224124105794","77.57021276595745","1.2154357368695705","3.8473273171146443",,"2.305304944063515","99.1357170862","22.794951605939467","6.759814669499667","3.775578923473207","23.7199510304883","5.979993446381016","3.65563398058233","25.16332589328567","14.074848441234199","0.09429103381200576","0.3389446432008647","-0.33262471450500186","-0.07434126859094015","-0.010452055435233445",,"3.184684106558283","5.963149302860815","2.6450012328183385","9.571231713538785","1.5008940038912981"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","545187.40847817","19.77928528632999","23.358285967010104","14.096376311958936","20.319449045768955","16.38735190470875","42.69461077844311","0.8735435253477083","13.615501519756839","0","1.4132025274359827","-52.0801953819","53.04927590524181","10.791089198332806","8.693371525491845","54.56785191454009","10.419887680527436","8.596868408115862","61.27235009412093","34.83687054007302","0.8924968925084453","-0.979328250498062","0.25964447938945323","0","-0.00005630766599267341",,"1.8100717564160576","2.360161261364202","3.1405905474144142","1.552491897114623","6.473662551440319"
ITC Ltd,ITC,"FMCG - Tobacco","544708.39777973","27.58891388238758","36.055390680322446","23.544152017046507","28.999039442686374","26.275817454313955","334.2277227722773","0.8960388029024398","3.043288134929381","2.703448726790135","2.8873794435132227",,"28.382557724539197","7.833158986225242","7.457749056565204","28.85482479345731","7.492106685344214","7.164434434632477","32.43254961893786","18.821912091609928","1.7983918192314192","-2.2885098055772204","1.9061940101460646","0",,"-2.7307624439606917","3.5364660389061555","16.82182824839673","0.7818411881283023","25.301326408518307","8.914626821364157"
Larsen and Toubro Ltd,LT,"Construction & Engineering","474393.30073395","8.882511752196509","17.761296665449688","3.2279686749493997","10.51506201652369","5.794124712082034","3.215491185919067","0.6948299127773128","4.139277542696414","0","1.371073104233652","85.185290845","36.32661802633947","4.580535238214852","2.104809552127782","20.82777072682","2.4582898186251247","2.445553437112691","29.5812248122005","16.473068166497256","1.232554456537251","-0.8001940643091174","1.0656067569636427","0","-0.00004268997531729662",,"1.0073159630641502","20.911102258265913","10.898416392403087","26.101950472116414","20.722701149425294"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","415758.69586534","4.245401438273622","7.51523659608635","4.718833419483343","23.464808516968056","26.27956097592024",,"0.22549213400986806","-5.238199794054245",,"0.3763507587869032","-20.9959502201","28.76989862172681","7.646561627245139","7.560603051007135",,"2.3173428098155386","11.422857836636926",,"31.418402535368315","0.31932794779233653","-0.35880184292105","-0.2700081183341432","-0.08613553029314147","0.16102075714028335",,"0.5233600684337235","32.80283988160559","-14.55019919021862","24.30479636963189","24.67366710287476"
